,per_blue_win,per_red_win,minute,predicted_label,label
11844,0.99,0.01,35,1,1
18211,0.6,0.4,24,1,0
4322,0.45,0.55,9,0,0
7494,0.5,0.5,19,1,0
18314,0.29,0.71,21,0,0
20608,0.47,0.53,0,0,0
12160,0.94,0.06,29,1,1
14132,0.24,0.76,24,0,0
15760,0.47,0.53,3,0,0
3325,0.55,0.45,1,1,0
6283,0.4,0.6,13,0,1
10324,0.51,0.49,1,1,0
8481,1.0,0.0,33,1,1
16864,0.6,0.4,15,1,0
13016,0.82,0.18,27,1,1
6414,0.6,0.4,2,1,1
15147,0.02,0.98,26,0,0
7049,0.05,0.95,35,0,0
20652,0.44,0.56,4,0,1
11100,0.98,0.02,27,1,1
11582,0.2,0.8,26,0,1
19622,0.44,0.56,2,0,0
10638,0.11,0.89,33,0,0
11173,0.46,0.54,10,0,0
1296,0.0,1.0,27,0,0
18122,0.44,0.56,8,0,1
6491,0.0,1.0,25,0,0
4030,1.0,0.0,26,1,1
12138,0.9,0.1,28,1,1
4747,0.99,0.01,34,1,1
12351,0.99,0.01,31,1,1
275,0.66,0.34,19,1,1
14224,0.58,0.42,20,1,0
5283,0.45,0.55,18,0,0
8462,0.56,0.44,34,1,0
5395,0.77,0.23,16,1,0
4670,0.51,0.49,7,1,1
2273,0.81,0.19,18,1,0
16500,0.61,0.39,15,1,1
3135,0.44,0.56,6,0,0
2098,0.1,0.9,22,0,0
3976,0.45,0.55,2,0,0
11086,0.92,0.08,33,1,1
5953,0.29,0.71,14,0,0
14544,0.45,0.55,9,0,1
21153,0.0,1.0,33,0,0
5506,0.55,0.45,2,1,0
14455,0.68,0.32,21,1,0
4184,0.51,0.49,14,1,0
6690,0.47,0.53,14,0,0
7853,0.46,0.54,8,0,1
10428,0.52,0.48,6,1,1
290,0.14,0.86,33,0,0
21355,0.63,0.37,15,1,0
11249,0.0,1.0,36,0,0
9760,0.53,0.47,4,1,0
3964,0.0,1.0,36,0,0
17848,0.5,0.5,1,1,0
7639,0.52,0.48,15,1,1
20214,0.04,0.96,23,0,0
4423,0.01,0.99,28,0,0
8959,0.28,0.72,28,0,0
625,0.67,0.33,15,1,1
18659,0.74,0.26,18,1,1
4403,0.87,0.13,32,1,1
12717,0.36,0.64,13,0,0
16767,0.37,0.63,8,0,0
13802,0.46,0.54,14,0,0
12673,0.38,0.62,10,0,1
16730,0.51,0.49,1,1,1
19159,0.59,0.41,32,1,0
1915,0.47,0.53,0,0,0
9967,0.06,0.94,32,0,0
3117,0.63,0.37,16,1,0
6839,0.62,0.38,16,1,0
11810,0.59,0.41,1,1,1
15033,0.49,0.51,5,0,1
4145,0.63,0.37,4,1,1
741,0.51,0.49,3,1,1
6480,0.73,0.27,21,1,1
16213,0.25,0.75,25,0,0
1305,0.51,0.49,2,1,0
702,0.55,0.45,0,1,1
19178,0.88,0.12,21,1,1
3145,0.01,0.99,36,0,0
14850,0.67,0.33,15,1,1
19001,0.71,0.29,20,1,1
6399,0.92,0.08,26,1,0
4476,0.21,0.79,27,0,0
14020,0.54,0.46,9,1,0
13032,1.0,0.0,36,1,1
15972,0.4,0.6,11,0,0
9660,1.0,0.0,31,1,1
20702,0.57,0.43,3,1,0
20449,0.57,0.43,6,1,0
12643,0.55,0.45,4,1,1
14740,0.84,0.16,21,1,1
19412,0.4,0.6,15,0,0
19368,0.39,0.61,12,0,1
1480,0.46,0.54,26,0,0
3284,0.75,0.25,20,1,1
15789,0.46,0.54,19,0,0
17776,0.56,0.44,0,1,1
2609,0.32,0.68,14,0,1
13636,0.75,0.25,17,1,0
6847,0.99,0.01,24,1,1
1070,0.07,0.93,34,0,0
859,0.42,0.58,8,0,0
12325,0.52,0.48,19,1,0
15156,0.49,0.51,4,0,0
15171,0.47,0.53,2,0,1
4380,1.0,0.0,25,1,1
14561,0.49,0.51,2,0,1
5384,0.59,0.41,3,1,0
20499,0.43,0.57,5,0,1
3011,0.54,0.46,4,1,1
11291,0.94,0.06,29,1,1
4722,0.49,0.51,9,0,0
16680,0.02,0.98,31,0,0
565,0.44,0.56,8,0,1
6651,0.6,0.4,1,1,0
20250,0.71,0.29,19,1,0
1522,0.68,0.32,26,1,1
2952,1.0,0.0,28,1,1
17537,0.7,0.3,19,1,0
5112,0.34,0.66,21,0,0
12348,0.52,0.48,15,1,1
19594,0.47,0.53,29,0,0
12427,0.75,0.25,18,1,1
1637,0.44,0.56,4,0,1
10628,0.63,0.37,19,1,0
19135,0.08,0.92,34,0,0
5863,0.97,0.03,29,1,0
15682,0.27,0.73,23,0,0
4646,0.99,0.01,26,1,1
15150,0.73,0.27,17,1,1
5134,0.64,0.36,2,1,1
16192,0.67,0.33,18,1,0
9226,0.99,0.01,35,1,1
10091,0.34,0.66,26,0,0
1892,0.64,0.36,36,1,1
6551,0.5,0.5,7,0,1
19825,0.41,0.59,9,0,0
20009,0.52,0.48,6,1,0
12105,0.44,0.56,7,0,1
2904,0.53,0.47,17,1,1
8305,0.56,0.44,20,1,0
5177,0.78,0.22,25,1,0
17707,0.45,0.55,12,0,0
5632,0.49,0.51,1,0,1
17371,0.52,0.48,8,1,0
1925,0.56,0.44,10,1,1
5280,0.97,0.03,22,1,1
13420,0.51,0.49,4,1,0
19711,0.54,0.46,10,1,1
12880,0.56,0.44,10,1,0
20546,0.06,0.94,21,0,0
10663,0.3,0.7,20,0,0
5029,0.07,0.93,36,0,0
9207,0.06,0.94,26,0,0
2868,0.99,0.01,28,1,1
18130,0.75,0.25,25,1,0
9689,0.32,0.68,22,0,0
20916,1.0,0.0,25,1,1
16504,0.41,0.59,10,0,1
1383,0.71,0.29,18,1,1
21421,0.51,0.49,4,1,1
12019,1.0,0.0,31,1,1
837,0.0,1.0,31,0,0
6077,0.04,0.96,23,0,0
4891,0.33,0.67,13,0,1
6064,0.0,1.0,33,0,0
9932,0.09,0.91,32,0,0
7622,0.89,0.11,23,1,1
19682,0.46,0.54,20,0,1
13122,0.0,1.0,33,0,0
10493,0.38,0.62,20,0,0
8952,0.99,0.01,31,1,1
7238,1.0,0.0,36,1,1
8130,0.67,0.33,19,1,0
506,0.86,0.14,31,1,1
2011,0.03,0.97,36,0,0
219,0.01,0.99,27,0,0
6004,0.88,0.12,28,1,1
20690,0.0,1.0,31,0,0
1312,0.39,0.61,20,0,1
18036,0.57,0.43,2,1,1
9376,0.62,0.38,15,1,1
2366,0.97,0.03,31,1,1
14888,0.63,0.37,15,1,0
11033,0.86,0.14,22,1,1
8045,0.07,0.93,35,0,0
875,0.8,0.2,18,1,0
397,0.03,0.97,25,0,0
15734,0.03,0.97,33,0,1
16254,0.84,0.16,20,1,0
17900,0.6,0.4,16,1,1
6855,0.53,0.47,7,1,0
3629,0.5,0.5,20,1,1
14188,0.99,0.01,36,1,1
6468,0.55,0.45,14,1,1
3072,0.84,0.16,23,1,0
13117,0.75,0.25,20,1,1
3253,0.3,0.7,33,0,0
6646,0.6,0.4,35,1,0
19312,0.69,0.31,23,1,1
10596,0.9,0.1,23,1,1
11653,0.42,0.58,2,0,1
19684,0.45,0.55,4,0,0
6423,0.99,0.01,30,1,1
17854,1.0,0.0,36,1,1
15869,0.45,0.55,5,0,0
14704,0.62,0.38,19,1,0
153,0.47,0.53,8,0,1
14557,0.53,0.47,26,1,0
21020,0.43,0.57,0,0,1
9916,0.35,0.65,15,0,0
10107,0.41,0.59,12,0,1
4204,0.51,0.49,10,1,0
2072,0.51,0.49,5,1,0
3191,0.35,0.65,14,0,1
10883,0.0,1.0,31,0,0
13467,0.49,0.51,0,0,0
16350,0.35,0.65,11,0,0
5421,0.24,0.76,27,0,0
14388,0.75,0.25,19,1,1
20031,0.47,0.53,3,0,1
9213,0.32,0.68,12,0,1
8831,0.06,0.94,30,0,0
2957,0.48,0.52,0,0,1
415,0.7,0.3,16,1,1
3075,0.29,0.71,32,0,1
12296,0.52,0.48,9,1,0
7775,0.73,0.27,22,1,1
19914,0.03,0.97,35,0,0
14092,0.57,0.43,25,1,0
352,0.75,0.25,21,1,1
12883,0.48,0.52,6,0,1
8375,0.12,0.88,27,0,0
2032,0.85,0.15,25,1,1
14023,0.47,0.53,4,0,0
516,0.02,0.98,32,0,0
15382,0.33,0.67,11,0,0
13666,0.5,0.5,2,1,0
7067,0.8,0.2,34,1,1
7174,0.46,0.54,6,0,0
7648,0.45,0.55,9,0,0
2230,0.62,0.38,8,1,1
832,0.0,1.0,34,0,0
